Website,Title,Description,Tags
datahub.io/el/dataset/publicspending-net,Publicspending.net - Greek Government expenditure,Publicspending.net leverages open financial data provided by governments (eg clarity and Great Britain) and leverages the existing dynamics in effective transparency and innovation.,economy
rae.gr/geo/,Geographic Map - ΡΑΕ,The Geographic Map materialized under development Geospatial Information Infrastructure RAE.,"energy, geographic"
Cityofathens.gr/khe/proypologismos,Municipality of Athens budget,Municipality of Athens budget,"economy, public administration"
data.gov.gr/dataset/24/,Traffic Accidents in Greece,"Daily analysis of fatal, serious, minor traffic accidents","transportation, traffic"
data.gov.gr/dataset/28/,OASA - Schedules,"Contains the positions and attitudes of urban transport stations, routes and timetable","transportation, traffic"
data.gov.gr/dataset/17/,Prices Consumer Products in Greece,Prices of consumer products such as those derived from the database of the plot price per fortnight,"economy, business, products"
data.gov.gr/dataset/4/,Fuel Prices - Unleaded 95,Prices of unleaded gasoline 95 octane from the Price Observatory Stations,"transportation, fuel"
data.gov.gr/dataset/10/,Fuel Prices - Super LRP,Rates SUPER LRP from Observatories Stations,"transportation, fuel"
data.gov.gr/dataset/9/,Fuel Prices - Oil Heating (at home),Fuel Prices - Oil Heating (at home),"transportation, fuel"
data.gov.gr/dataset/8/,Fuel Prices - Heating Oil (Pump),Prices of heating oil (pump) from the Price Observatory Stations,"transportation, fuel"
data.gov.gr/dataset/7/,Fuel Prices - Autogas LPG,Prices of LPG from the Price Observatory Stations,"transportation, fuel"
data.gov.gr/dataset/6/,Fuel Prices - Gasoil,Prices of diesel from the Price Observatory Stations,"transportation, fuel"
data.gov.gr/dataset/5/,Fuel Prices - Unleaded 100,Rates 100 octane unleaded gasoline from Observatories Stations,"transportation, fuel"
data.gov.gr/dataset/38/,Technical Bulletins - tenders - Contract of IS,Includes all Technical Bulletins - Competitions - Agents of the Information Society SA,"business, economy, public contracts"
data.gov.gr/dataset/18/,Statistical Bulletins Tax Data,"The Statistical Bulletins Tax Data containing information on the personal income tax, the corporate income tax, value added tax (VAT) and capital taxation. Issued annually by the General Secretariat for Information Systems.","economy, fiscal"
data.gov.gr/dataset/11/,"Registry of Tourism Management, Greek National Tourism Organisation","Registry of Tourism Management, Greek National Tourism Organisation",tourism
data.gov.gr/dataset/41/,Archives Documents of public broadcasting,"A unique national wealth television , radio , photographic and printed material , which constitutes about 70 % of the audiovisual library of Greece Located in the Archives of ERT . A part of this treasure , which has gone through the technical process of digitization is now available through the website hprt-archives.gr/. This dataset hung Files (Metadata) Evidence from the library of public broadcasting and archives news content and programs of the Public Television from September 2013 .","broadcasting, cultural"
Openarchives.gr,Collections of museums / cultural institutions / historical archives,"In openarchives.gr the user a single access point to search any journals and archives journals, research publications, theses, dissertations, photographs, maps, etc., covering a wide range of themes such as history, Music, Finance or Marketing.",cultural
data.gov.gr/dataset/19/,Population Census 2011,"Results of 2011 Census, the resident population of each administrative division of the country and to the level of settlement",population
data.gov.gr/dataset/26/,Integrated System Control & Payment pensions 'Helios',"The 'HELIOS' provides valuable and useful statistical data for all classes and the number of pensions, the number of pensioners and the total cost for pension benefits.","economy, public contracts"
data.gov.gr/dataset/35/,Snapshot Feedback Consultation OpenGov,Statistics from the consultations Opengov.gr and all authorized comments consultations,
